TaskId,Subject,OpportunityId,Status,DueDate
00T000000142,Task 142,006000000000002,In Progress,2023-09-26 16:01:45
00T000000143,Task 143,006000000000371,Not Started,2023-06-08 03:27:20
00T000000144,Task 144,006000000000174,Not Started,2024-03-12 07:37:15
00T000000145,Task 145,006000000000445,Completed,2024-02-18 20:46:03
00T000000146,Task 146,006000000000098,Deferred,2023-12-21 13:53:29
00T000000147,Task 147,006000000000115,In Progress,2023-07-26 13:23:48
00T000000148,Task 148,006000000000269,Completed,2023-09-03 06:55:59
00T000000149,Task 149,006000000000446,Deferred,2024-05-23 23:27:43
00T000000150,Task 150,006000000000367,Deferred,2023-11-02 13:38:40
00T000000151,Task 151,006000000000252,Deferred,2024-03-02 14:12:43
00T000000152,Task 152,006000000000316,Completed,2023-09-24 16:59:52
00T000000153,Task 153,006000000000414,Completed,2023-12-20 14:15:39
00T000000154,Task 154,006000000000094,Deferred,2024-09-08 17:17:56
00T000000155,Task 155,006000000000272,Not Started,2023-12-13 23:05:25
00T000000156,Task 156,006000000000379,Not Started,2024-04-20 01:18:43
00T000000157,Task 157,006000000000023,Completed,2024-10-06 21:05:57
00T000000158,Task 158,006000000000115,Completed,2024-08-10 03:27:23
00T000000159,Task 159,006000000000150,Completed,2023-03-13 14:59:03
00T000000160,Task 160,006000000000337,Deferred,2024-07-19 06:53:22
00T000000161,Task 161,006000000000049,Not Started,2024-03-08 06:18:44
00T000000162,Task 162,006000000000205,Completed,2024-02-13 09:31:13
00T000000163,Task 163,006000000000497,Completed,2024-11-03 01:22:53
00T000000164,Task 164,006000000000334,In Progress,2023-03-12 18:05:00
00T000000165,Task 165,006000000000078,Deferred,2024-01-22 10:45:58
00T000000166,Task 166,006000000000069,In Progress,2023-07-10 14:36:25
00T000000167,Task 167,006000000000026,Not Started,2023-07-06 01:01:32
00T000000168,Task 168,006000000000270,In Progress,2023-08-24 17:42:07
00T000000169,Task 169,006000000000049,In Progress,2023-01-28 23:26:49
00T000000170,Task 170,006000000000291,In Progress,2023-07-20 06:42:21
00T000000171,Task 171,006000000000246,Deferred,2023-09-30 09:24:26
00T000000172,Task 172,006000000000263,Not Started,2023-02-03 20:40:09
00T000000173,Task 173,006000000000078,In Progress,2023-12-03 12:03:49
00T000000174,Task 174,006000000000386,Deferred,2024-05-09 04:59:47
00T000000175,Task 175,006000000000189,Not Started,2023-06-24 02:15:16
00T000000176,Task 176,006000000000046,Completed,2023-07-21 04:52:48
00T000000177,Task 177,006000000000460,In Progress,2024-08-21 01:05:10
00T000000178,Task 178,006000000000360,Not Started,2024-10-23 13:33:43
00T000000179,Task 179,006000000000353,In Progress,2023-05-03 16:18:48
00T000000180,Task 180,006000000000471,Completed,2023-03-30 23:21:08
00T000000181,Task 181,006000000000487,Not Started,2024-01-10 05:49:51
00T000000182,Task 182,006000000000351,Deferred,2024-10-15 08:22:10
00T000000183,Task 183,006000000000188,Not Started,2023-03-25 09:13:45
00T000000184,Task 184,006000000000415,Deferred,2023-03-01 16:56:10
00T000000185,Task 185,006000000000255,Not Started,2023-02-25 19:50:16
00T000000186,Task 186,006000000000221,Deferred,2023-03-02 07:26:06
00T000000187,Task 187,006000000000371,Completed,2023-07-27 08:15:33
00T000000188,Task 188,006000000000240,Completed,2024-10-29 17:08:30
00T000000189,Task 189,006000000000268,Completed,2023-03-06 08:27:48
00T000000190,Task 190,006000000000000,Not Started,2024-02-27 14:12:44
00T000000191,Task 191,006000000000033,Completed,2024-08-30 14:46:42
00T000000192,Task 192,006000000000445,In Progress,2024-01-27 19:47:01
00T000000193,Task 193,006000000000078,Completed,2023-03-17 08:00:50
00T000000194,Task 194,006000000000235,Deferred,2023-01-19 01:04:09
00T000000195,Task 195,006000000000333,Deferred,2024-01-14 13:32:59
00T000000196,Task 196,006000000000376,Deferred,2023-03-13 00:40:21
00T000000197,Task 197,006000000000348,Not Started,2024-12-06 17:31:47
00T000000198,Task 198,006000000000097,In Progress,2024-09-02 00:35:42
00T000000199,Task 199,006000000000081,Completed,2023-04-17 23:56:01
00T000000200,Task 200,006000000000454,In Progress,2023-01-06 20:10:55
00T000000201,Task 201,006000000000476,In Progress,2024-12-24 08:12:23
00T000000202,Task 202,006000000000414,Deferred,2024-06-15 07:17:55
00T000000203,Task 203,006000000000191,Deferred,2024-01-27 02:27:36
00T000000204,Task 204,006000000000252,Deferred,2024-12-22 23:16:38
00T000000205,Task 205,006000000000408,Not Started,2023-04-20 10:49:47
00T000000206,Task 206,006000000000037,In Progress,2023-08-19 15:10:25
00T000000207,Task 207,006000000000013,In Progress,2023-09-04 19:40:19
00T000000208,Task 208,006000000000391,Not Started,2023-07-12 12:32:36
00T000000209,Task 209,006000000000346,Not Started,2024-09-21 03:08:50
00T000000210,Task 210,006000000000309,Not Started,2024-05-19 23:46:04
00T000000211,Task 211,006000000000385,In Progress,2023-12-02 18:06:44
00T000000212,Task 212,006000000000208,In Progress,2024-03-12 13:58:41
00T000000213,Task 213,006000000000356,Deferred,2023-11-19 19:57:30
00T000000214,Task 214,006000000000461,Deferred,2024-05-21 08:34:42
00T000000215,Task 215,006000000000088,In Progress,2024-07-16 21:15:41
00T000000216,Task 216,006000000000055,Deferred,2023-01-02 01:54:06
00T000000217,Task 217,006000000000093,Not Started,2024-10-06 07:59:52
00T000000218,Task 218,006000000000092,Completed,2024-11-13 01:12:22
00T000000219,Task 219,006000000000339,Deferred,2024-02-20 18:22:25
00T000000220,Task 220,006000000000084,In Progress,2023-11-04 19:37:12
00T000000221,Task 221,006000000000444,Deferred,2023-06-05 14:24:03
00T000000222,Task 222,006000000000244,Deferred,2023-08-30 04:58:04
00T000000223,Task 223,006000000000021,Deferred,2024-12-19 21:05:44
00T000000224,Task 224,006000000000290,Completed,2024-02-19 19:20:30
00T000000225,Task 225,006000000000484,Not Started,2023-12-18 15:01:00
00T000000226,Task 226,006000000000271,In Progress,2024-02-11 02:19:29
00T000000227,Task 227,006000000000305,Completed,2024-02-02 10:19:58
00T000000228,Task 228,006000000000121,In Progress,2024-06-03 03:31:39
00T000000229,Task 229,006000000000127,In Progress,2024-04-21 06:52:25
00T000000230,Task 230,006000000000112,In Progress,2023-05-02 00:33:19
00T000000231,Task 231,006000000000426,Completed,2024-07-29 19:02:35
00T000000232,Task 232,006000000000272,Not Started,2024-08-01 11:03:15
00T000000233,Task 233,006000000000335,In Progress,2023-06-01 20:02:12
00T000000234,Task 234,006000000000441,Not Started,2024-02-02 09:05:37
00T000000235,Task 235,006000000000129,Not Started,2023-10-04 07:44:41
00T000000236,Task 236,006000000000131,Deferred,2024-05-11 01:33:52
00T000000237,Task 237,006000000000084,Completed,2024-08-08 02:12:54
00T000000238,Task 238,006000000000422,Completed,2024-01-08 11:11:27
00T000000239,Task 239,006000000000481,Deferred,2024-07-03 03:56:09
00T000000240,Task 240,006000000000349,Deferred,2024-03-16 14:26:24
00T000000241,Task 241,006000000000389,Not Started,2024-04-10 04:32:47
00T000000242,Task 242,006000000000080,In Progress,2023-02-10 18:33:30
00T000000243,Task 243,006000000000486,Completed,2024-06-06 19:04:58
00T000000244,Task 244,006000000000472,In Progress,2023-11-05 00:22:47
00T000000245,Task 245,006000000000324,In Progress,2023-09-15 14:39:30
00T000000246,Task 246,006000000000068,Deferred,2024-04-09 11:08:25
00T000000247,Task 247,006000000000147,In Progress,2023-04-18 12:24:21
00T000000248,Task 248,006000000000447,Not Started,2024-07-06 16:11:18
00T000000249,Task 249,006000000000015,Deferred,2023-02-21 11:22:01
00T000000250,Task 250,006000000000306,In Progress,2023-07-21 17:24:00
00T000000251,Task 251,006000000000104,Deferred,2024-06-21 20:29:49
00T000000252,Task 252,006000000000164,Not Started,2024-02-27 00:00:37
00T000000253,Task 253,006000000000487,Not Started,2024-12-17 08:04:38
00T000000254,Task 254,006000000000200,In Progress,2024-10-12 10:38:13
00T000000255,Task 255,006000000000196,Deferred,2024-11-06 22:33:20
00T000000256,Task 256,006000000000425,In Progress,2023-02-22 21:12:26
00T000000257,Task 257,006000000000184,In Progress,2023-08-11 18:41:12
00T000000258,Task 258,006000000000321,Deferred,2023-12-23 12:19:15
00T000000259,Task 259,006000000000264,In Progress,2023-08-19 12:29:58
00T000000260,Task 260,006000000000362,Not Started,2023-11-15 19:02:46
00T000000261,Task 261,006000000000099,Deferred,2024-01-01 12:30:57
00T000000262,Task 262,006000000000341,Deferred,2024-08-24 15:24:32
00T000000263,Task 263,006000000000319,Deferred,2023-07-29 18:47:51
00T000000264,Task 264,006000000000213,Deferred,2023-10-29 04:13:27
00T000000265,Task 265,006000000000277,In Progress,2023-09-11 03:48:06
00T000000266,Task 266,006000000000161,In Progress,2023-01-26 19:37:33
00T000000267,Task 267,006000000000438,Not Started,2023-12-22 11:19:58
00T000000268,Task 268,006000000000156,Completed,2024-01-31 03:09:34
00T000000269,Task 269,006000000000421,Completed,2024-03-17 04:25:02
00T000000270,Task 270,006000000000250,Not Started,2023-01-17 10:37:34
00T000000271,Task 271,006000000000365,Completed,2024-05-26 02:42:47
00T000000272,Task 272,006000000000096,Not Started,2024-11-19 00:09:19
00T000000273,Task 273,006000000000017,In Progress,2024-12-21 03:08:34
00T000000274,Task 274,006000000000326,Deferred,2024-12-21 06:46:02
00T000000275,Task 275,006000000000448,Deferred,2023-04-07 16:57:05
00T000000276,Task 276,006000000000382,In Progress,2024-10-12 11:25:42
00T000000277,Task 277,006000000000096,Deferred,2023-07-02 22:36:07
00T000000278,Task 278,006000000000000,Deferred,2024-11-14 16:05:04
00T000000279,Task 279,006000000000215,Completed,2024-12-03 17:57:15
00T000000280,Task 280,006000000000131,In Progress,2023-01-18 03:26:17
00T000000281,Task 281,006000000000259,Completed,2023-07-16 02:43:27
00T000000282,Task 282,006000000000124,Completed,2023-09-01 20:21:12
00T000000283,Task 283,006000000000081,Deferred,2023-02-16 05:09:02
00T000000284,Task 284,006000000000282,Deferred,2024-12-08 18:17:48
00T000000285,Task 285,006000000000170,In Progress,2023-09-06 02:48:46
00T000000286,Task 286,006000000000058,Deferred,2023-10-29 09:51:22
00T000000287,Task 287,006000000000031,Deferred,2023-07-07 01:30:43
00T000000288,Task 288,006000000000160,In Progress,2023-03-10 10:47:43
00T000000289,Task 289,006000000000283,Deferred,2023-11-13 01:49:51
00T000000290,Task 290,006000000000105,Completed,2024-11-11 19:45:33
00T000000291,Task 291,006000000000104,In Progress,2024-07-03 08:16:43
00T000000292,Task 292,006000000000438,Deferred,2023-11-30 17:38:37
00T000000293,Task 293,006000000000227,Not Started,2024-11-06 02:55:31
00T000000294,Task 294,006000000000187,In Progress,2023-12-11 09:00:50
00T000000295,Task 295,006000000000069,In Progress,2024-04-25 12:17:25
00T000000296,Task 296,006000000000317,Not Started,2023-03-22 14:02:24
00T000000297,Task 297,006000000000463,Deferred,2023-09-11 10:13:41
00T000000298,Task 298,006000000000289,Deferred,2023-08-01 01:35:45
00T000000299,Task 299,006000000000086,In Progress,2023-06-28 04:37:12
00T000000300,Task 300,006000000000369,In Progress,2024-09-10 02:33:21
00T000000301,Task 301,006000000000361,Deferred,2024-08-10 01:48:38
00T000000302,Task 302,006000000000471,Deferred,2023-09-05 17:20:59
00T000000303,Task 303,006000000000055,Completed,2023-11-07 21:12:16
00T000000304,Task 304,006000000000112,In Progress,2023-03-30 06:42:19
00T000000305,Task 305,006000000000012,In Progress,2023-05-22 06:56:54
00T000000306,Task 306,006000000000439,Not Started,2024-06-26 13:14:31
00T000000307,Task 307,006000000000017,Completed,2024-02-08 23:46:11
00T000000308,Task 308,006000000000181,Deferred,2023-05-17 16:10:06
00T000000309,Task 309,006000000000460,Completed,2024-12-28 16:36:59
00T000000310,Task 310,006000000000112,Deferred,2023-02-13 05:29:02
00T000000311,Task 311,006000000000228,Deferred,2023-04-08 13:27:21
00T000000312,Task 312,006000000000170,Completed,2024-11-25 04:25:58
00T000000313,Task 313,006000000000294,In Progress,2023-04-20 06:21:41
00T000000314,Task 314,006000000000188,Deferred,2024-06-21 13:14:28
00T000000315,Task 315,006000000000425,Completed,2024-01-20 12:34:22
00T000000316,Task 316,006000000000464,Not Started,2024-05-22 04:33:26
00T000000317,Task 317,006000000000078,Completed,2023-06-03 20:50:35
00T000000318,Task 318,006000000000145,Not Started,2024-12-22 03:27:11
00T000000319,Task 319,006000000000406,Deferred,2024-09-19 02:34:12
00T000000320,Task 320,006000000000181,Completed,2024-07-04 09:17:08
00T000000321,Task 321,006000000000498,Completed,2024-04-23 13:17:02
00T000000322,Task 322,006000000000285,Not Started,2023-05-17 17:06:24
00T000000323,Task 323,006000000000249,Completed,2023-02-02 15:38:25
00T000000324,Task 324,006000000000353,Completed,2024-07-17 03:06:12
00T000000325,Task 325,006000000000313,Deferred,2024-12-02 07:14:20
00T000000326,Task 326,006000000000195,Completed,2024-05-22 10:53:06
00T000000327,Task 327,006000000000322,In Progress,2024-02-04 01:55:41
00T000000328,Task 328,006000000000070,Not Started,2023-10-10 19:59:40
00T000000329,Task 329,006000000000247,Completed,2023-09-15 07:41:05
00T000000330,Task 330,006000000000145,Not Started,2023-07-08 18:07:09
00T000000331,Task 331,006000000000105,Not Started,2023-07-22 09:11:25
00T000000332,Task 332,006000000000262,Not Started,2024-10-17 16:09:07
00T000000333,Task 333,006000000000295,Completed,2023-02-18 22:25:39
00T000000334,Task 334,006000000000069,Completed,2024-09-01 05:59:47
00T000000335,Task 335,006000000000469,Not Started,2024-12-17 23:24:35
00T000000336,Task 336,006000000000192,In Progress,2023-08-13 05:41:38
00T000000337,Task 337,006000000000067,Not Started,2023-05-23 23:38:20
00T000000338,Task 338,006000000000493,In Progress,2024-11-22 06:52:27
00T000000339,Task 339,006000000000304,Not Started,2024-03-10 01:12:38
00T000000340,Task 340,006000000000051,Deferred,2024-04-19 09:40:08
00T000000341,Task 341,006000000000369,Not Started,2024-05-08 20:55:07
00T000000342,Task 342,006000000000362,Not Started,2024-09-28 08:42:28
00T000000343,Task 343,006000000000284,Completed,2023-08-17 21:21:07
00T000000344,Task 344,006000000000404,In Progress,2023-02-12 09:01:46
00T000000345,Task 345,006000000000473,Deferred,2023-05-01 12:22:57
00T000000346,Task 346,006000000000333,In Progress,2024-02-04 21:38:09
00T000000347,Task 347,006000000000008,Deferred,2023-12-22 00:49:58
00T000000348,Task 348,006000000000250,Not Started,2023-07-06 08:49:13
00T000000349,Task 349,006000000000430,Completed,2023-06-29 05:38:39
00T000000350,Task 350,006000000000331,Completed,2023-02-12 12:35:53
00T000000351,Task 351,006000000000297,In Progress,2023-02-24 23:03:04
00T000000352,Task 352,006000000000434,Completed,2023-12-29 08:01:16
00T000000353,Task 353,006000000000183,In Progress,2023-10-06 17:03:34
00T000000354,Task 354,006000000000178,In Progress,2023-01-26 14:31:32
00T000000355,Task 355,006000000000197,Deferred,2024-09-25 02:59:05
00T000000356,Task 356,006000000000127,In Progress,2023-12-26 10:10:17
00T000000357,Task 357,006000000000019,Deferred,2023-08-25 01:25:29
00T000000358,Task 358,006000000000471,Completed,2023-11-22 10:05:25
00T000000359,Task 359,006000000000410,In Progress,2024-02-09 09:14:02
00T000000360,Task 360,006000000000421,In Progress,2023-05-04 19:03:27
00T000000361,Task 361,006000000000327,Not Started,2023-06-14 01:28:18
00T000000362,Task 362,006000000000064,In Progress,2023-10-22 13:58:44
00T000000363,Task 363,006000000000181,In Progress,2023-05-27 08:59:51
00T000000364,Task 364,006000000000240,Not Started,2023-03-26 20:13:15
00T000000365,Task 365,006000000000368,Not Started,2024-02-17 01:48:32
00T000000366,Task 366,006000000000023,Completed,2023-01-29 14:00:06
00T000000367,Task 367,006000000000383,In Progress,2024-06-26 09:03:09
00T000000368,Task 368,006000000000430,Completed,2024-09-09 17:16:04
00T000000369,Task 369,006000000000454,Completed,2023-01-13 02:25:33
00T000000370,Task 370,006000000000082,Not Started,2024-02-08 05:51:16
00T000000371,Task 371,006000000000469,Deferred,2023-02-24 02:13:04
00T000000372,Task 372,006000000000318,Completed,2023-11-06 06:47:36
00T000000373,Task 373,006000000000184,Deferred,2023-01-10 02:46:40
00T000000374,Task 374,006000000000438,In Progress,2024-03-16 11:06:44
00T000000375,Task 375,006000000000315,Not Started,2023-07-10 01:04:57
00T000000376,Task 376,006000000000098,In Progress,2024-04-13 22:31:20
00T000000377,Task 377,006000000000061,In Progress,2023-03-06 07:50:21
00T000000378,Task 378,006000000000285,Not Started,2024-12-26 13:15:10
00T000000379,Task 379,006000000000476,In Progress,2024-02-10 13:20:51
00T000000380,Task 380,006000000000021,Not Started,2024-08-26 19:42:52
00T000000381,Task 381,006000000000458,Deferred,2024-11-24 12:20:55
00T000000382,Task 382,006000000000211,In Progress,2023-11-18 23:07:17
00T000000383,Task 383,006000000000125,Not Started,2023-07-15 14:14:02
00T000000384,Task 384,006000000000412,Completed,2024-07-24 18:09:02
00T000000385,Task 385,006000000000498,In Progress,2024-03-23 15:30:26
00T000000386,Task 386,006000000000424,Deferred,2023-04-22 22:08:35
00T000000387,Task 387,006000000000041,Not Started,2024-06-06 14:45:52
00T000000388,Task 388,006000000000097,In Progress,2023-05-08 05:41:32
00T000000389,Task 389,006000000000448,In Progress,2024-08-14 01:11:41
00T000000390,Task 390,006000000000030,In Progress,2023-01-07 12:09:27
00T000000391,Task 391,006000000000157,Deferred,2023-05-14 04:45:20
00T000000392,Task 392,006000000000111,Not Started,2023-10-22 21:06:05
00T000000393,Task 393,006000000000401,Completed,2024-06-29 01:39:40
00T000000394,Task 394,006000000000246,Completed,2024-06-18 00:56:10
00T000000395,Task 395,006000000000121,Completed,2023-08-02 09:06:56
00T000000396,Task 396,006000000000272,Not Started,2023-04-25 23:02:59
00T000000397,Task 397,006000000000293,Completed,2024-02-14 06:49:29
00T000000398,Task 398,006000000000397,Deferred,2023-02-13 10:05:31
00T000000399,Task 399,006000000000470,Not Started,2024-12-07 07:32:25
00T000000400,Task 400,006000000000472,In Progress,2024-04-25 00:35:42
