TaskId,Subject,OpportunityId,Status,Priority
TaskId_345,Subject_28,OpportunityId_177,Status_455,Priority_363
TaskId_456,Subject_133,OpportunityId_454,Status_297,Priority_2
TaskId_53,Subject_108,OpportunityId_329,Status_283,Priority_328
TaskId_276,Subject_223,OpportunityId_312,Status_162,Priority_34
TaskId_469,Subject_65,OpportunityId_329,Status_306,Priority_44
TaskId_273,Subject_153,OpportunityId_337,Status_14,Priority_115
TaskId_381,Subject_284,OpportunityId_484,Status_149,Priority_229
TaskId_291,Subject_297,OpportunityId_437,Status_367,Priority_184
TaskId_387,Subject_153,OpportunityId_399,Status_256,Priority_99
TaskId_199,Subject_133,OpportunityId_189,Status_80,Priority_272
TaskId_178,Subject_294,OpportunityId_46,Status_21,Priority_94
TaskId_212,Subject_322,OpportunityId_267,Status_312,Priority_337
TaskId_122,Subject_169,OpportunityId_54,Status_124,Priority_483
TaskId_246,Subject_2,OpportunityId_197,Status_220,Priority_2
TaskId_178,Subject_167,OpportunityId_180,Status_239,Priority_215
TaskId_383,Subject_260,OpportunityId_24,Status_486,Priority_230
TaskId_409,Subject_442,OpportunityId_386,Status_451,Priority_462
TaskId_431,Subject_391,OpportunityId_453,Status_156,Priority_385
TaskId_218,Subject_71,OpportunityId_394,Status_138,Priority_190
TaskId_131,Subject_379,OpportunityId_189,Status_212,Priority_471
TaskId_57,Subject_147,OpportunityId_434,Status_349,Priority_487
TaskId_48,Subject_334,OpportunityId_376,Status_321,Priority_107
TaskId_289,Subject_26,OpportunityId_347,Status_390,Priority_258
TaskId_376,Subject_228,OpportunityId_40,Status_374,Priority_279
TaskId_410,Subject_493,OpportunityId_331,Status_95,Priority_371
TaskId_221,Subject_376,OpportunityId_152,Status_414,Priority_481
TaskId_266,Subject_110,OpportunityId_409,Status_410,Priority_47
TaskId_328,Subject_403,OpportunityId_471,Status_80,Priority_78
TaskId_134,Subject_499,OpportunityId_22,Status_363,Priority_41
TaskId_392,Subject_139,OpportunityId_37,Status_219,Priority_458
TaskId_69,Subject_357,OpportunityId_469,Status_62,Priority_389
TaskId_212,Subject_428,OpportunityId_17,Status_166,Priority_67
TaskId_214,Subject_369,OpportunityId_308,Status_201,Priority_394
TaskId_207,Subject_72,OpportunityId_451,Status_383,Priority_154
TaskId_12,Subject_317,OpportunityId_114,Status_317,Priority_380
TaskId_86,Subject_499,OpportunityId_31,Status_55,Priority_271
TaskId_304,Subject_254,OpportunityId_25,Status_10,Priority_318
TaskId_78,Subject_164,OpportunityId_213,Status_396,Priority_84
TaskId_339,Subject_52,OpportunityId_281,Status_237,Priority_321
TaskId_344,Subject_252,OpportunityId_22,Status_166,Priority_233
TaskId_491,Subject_256,OpportunityId_457,Status_80,Priority_260
TaskId_190,Subject_174,OpportunityId_301,Status_140,Priority_191
TaskId_41,Subject_346,OpportunityId_313,Status_339,Priority_354
TaskId_244,Subject_145,OpportunityId_3,Status_464,Priority_124
TaskId_86,Subject_94,OpportunityId_167,Status_338,Priority_160
TaskId_74,Subject_310,OpportunityId_6,Status_334,Priority_339
TaskId_384,Subject_346,OpportunityId_222,Status_328,Priority_317
TaskId_323,Subject_361,OpportunityId_269,Status_197,Priority_131
TaskId_26,Subject_290,OpportunityId_474,Status_407,Priority_488
TaskId_122,Subject_473,OpportunityId_129,Status_406,Priority_201
TaskId_162,Subject_4,OpportunityId_129,Status_354,Priority_91
TaskId_217,Subject_312,OpportunityId_378,Status_56,Priority_274
TaskId_30,Subject_12,OpportunityId_293,Status_232,Priority_382
TaskId_400,Subject_130,OpportunityId_28,Status_16,Priority_393
TaskId_55,Subject_419,OpportunityId_424,Status_317,Priority_368
TaskId_335,Subject_163,OpportunityId_430,Status_440,Priority_316
TaskId_15,Subject_427,OpportunityId_219,Status_462,Priority_132
TaskId_460,Subject_66,OpportunityId_248,Status_385,Priority_364
TaskId_387,Subject_33,OpportunityId_386,Status_352,Priority_232
TaskId_117,Subject_208,OpportunityId_493,Status_319,Priority_461
TaskId_182,Subject_112,OpportunityId_363,Status_392,Priority_497
TaskId_391,Subject_261,OpportunityId_317,Status_242,Priority_132
TaskId_92,Subject_469,OpportunityId_309,Status_292,Priority_101
TaskId_324,Subject_241,OpportunityId_384,Status_495,Priority_206
TaskId_304,Subject_346,OpportunityId_217,Status_295,Priority_190
TaskId_311,Subject_472,OpportunityId_48,Status_123,Priority_296
TaskId_311,Subject_202,OpportunityId_65,Status_37,Priority_165
TaskId_401,Subject_13,OpportunityId_61,Status_190,Priority_490
TaskId_119,Subject_315,OpportunityId_84,Status_83,Priority_468
TaskId_76,Subject_262,OpportunityId_318,Status_277,Priority_397
TaskId_352,Subject_403,OpportunityId_43,Status_300,Priority_125
TaskId_341,Subject_366,OpportunityId_142,Status_462,Priority_265
TaskId_428,Subject_205,OpportunityId_108,Status_177,Priority_302
TaskId_404,Subject_53,OpportunityId_410,Status_196,Priority_252
TaskId_57,Subject_107,OpportunityId_482,Status_106,Priority_218
TaskId_20,Subject_63,OpportunityId_306,Status_30,Priority_85
TaskId_374,Subject_379,OpportunityId_472,Status_300,Priority_225
TaskId_83,Subject_203,OpportunityId_322,Status_370,Priority_247
TaskId_301,Subject_323,OpportunityId_83,Status_326,Priority_207
TaskId_494,Subject_304,OpportunityId_241,Status_55,Priority_163
TaskId_106,Subject_331,OpportunityId_346,Status_31,Priority_50
TaskId_76,Subject_480,OpportunityId_36,Status_365,Priority_194
TaskId_61,Subject_78,OpportunityId_157,Status_320,Priority_148
TaskId_69,Subject_63,OpportunityId_489,Status_141,Priority_427
TaskId_257,Subject_335,OpportunityId_294,Status_342,Priority_472
TaskId_452,Subject_320,OpportunityId_356,Status_162,Priority_242
TaskId_184,Subject_16,OpportunityId_423,Status_84,Priority_465
TaskId_176,Subject_478,OpportunityId_11,Status_354,Priority_413
TaskId_138,Subject_114,OpportunityId_234,Status_60,Priority_59
TaskId_186,Subject_276,OpportunityId_392,Status_49,Priority_278
TaskId_344,Subject_8,OpportunityId_342,Status_15,Priority_302
TaskId_480,Subject_81,OpportunityId_158,Status_288,Priority_31
TaskId_8,Subject_154,OpportunityId_281,Status_280,Priority_88
TaskId_11,Subject_153,OpportunityId_332,Status_160,Priority_178
TaskId_402,Subject_196,OpportunityId_430,Status_260,Priority_166
TaskId_60,Subject_37,OpportunityId_334,Status_258,Priority_437
TaskId_149,Subject_452,OpportunityId_102,Status_46,Priority_281
TaskId_369,Subject_406,OpportunityId_245,Status_477,Priority_91
TaskId_5,Subject_282,OpportunityId_63,Status_351,Priority_147
TaskId_295,Subject_274,OpportunityId_277,Status_302,Priority_150
TaskId_221,Subject_189,OpportunityId_482,Status_397,Priority_408
TaskId_196,Subject_102,OpportunityId_494,Status_62,Priority_113
TaskId_264,Subject_229,OpportunityId_101,Status_475,Priority_470
TaskId_155,Subject_415,OpportunityId_295,Status_297,Priority_439
TaskId_445,Subject_387,OpportunityId_415,Status_394,Priority_119
TaskId_436,Subject_221,OpportunityId_350,Status_396,Priority_41
TaskId_456,Subject_372,OpportunityId_390,Status_209,Priority_315
TaskId_399,Subject_44,OpportunityId_154,Status_454,Priority_107
TaskId_195,Subject_221,OpportunityId_286,Status_304,Priority_98
TaskId_80,Subject_315,OpportunityId_50,Status_239,Priority_451
TaskId_486,Subject_309,OpportunityId_364,Status_297,Priority_259
TaskId_38,Subject_473,OpportunityId_401,Status_81,Priority_284
TaskId_365,Subject_231,OpportunityId_358,Status_79,Priority_377
TaskId_391,Subject_243,OpportunityId_33,Status_290,Priority_238
TaskId_455,Subject_341,OpportunityId_218,Status_259,Priority_146
TaskId_83,Subject_397,OpportunityId_484,Status_242,Priority_111
TaskId_314,Subject_23,OpportunityId_267,Status_79,Priority_224
TaskId_281,Subject_129,OpportunityId_449,Status_269,Priority_389
TaskId_132,Subject_392,OpportunityId_187,Status_176,Priority_193
TaskId_488,Subject_136,OpportunityId_453,Status_41,Priority_150
TaskId_92,Subject_316,OpportunityId_319,Status_358,Priority_13
TaskId_284,Subject_208,OpportunityId_488,Status_18,Priority_199
TaskId_183,Subject_468,OpportunityId_300,Status_243,Priority_174
TaskId_500,Subject_459,OpportunityId_338,Status_176,Priority_268
TaskId_101,Subject_173,OpportunityId_249,Status_257,Priority_401
TaskId_41,Subject_135,OpportunityId_92,Status_97,Priority_109
TaskId_414,Subject_481,OpportunityId_44,Status_416,Priority_418
TaskId_28,Subject_155,OpportunityId_75,Status_290,Priority_196
TaskId_372,Subject_251,OpportunityId_106,Status_208,Priority_229
TaskId_365,Subject_474,OpportunityId_121,Status_153,Priority_278
TaskId_366,Subject_269,OpportunityId_456,Status_493,Priority_297
TaskId_30,Subject_219,OpportunityId_140,Status_401,Priority_129
TaskId_316,Subject_410,OpportunityId_24,Status_196,Priority_490
TaskId_141,Subject_246,OpportunityId_85,Status_14,Priority_181
TaskId_351,Subject_357,OpportunityId_2,Status_160,Priority_297
TaskId_486,Subject_409,OpportunityId_44,Status_101,Priority_241
TaskId_309,Subject_474,OpportunityId_410,Status_204,Priority_95
TaskId_277,Subject_414,OpportunityId_247,Status_69,Priority_436
TaskId_134,Subject_118,OpportunityId_47,Status_29,Priority_63
TaskId_203,Subject_9,OpportunityId_161,Status_327,Priority_127
TaskId_406,Subject_226,OpportunityId_216,Status_228,Priority_131
TaskId_283,Subject_244,OpportunityId_383,Status_284,Priority_329
TaskId_280,Subject_6,OpportunityId_69,Status_433,Priority_366
TaskId_359,Subject_58,OpportunityId_110,Status_425,Priority_226
TaskId_358,Subject_430,OpportunityId_432,Status_167,Priority_74
TaskId_361,Subject_97,OpportunityId_157,Status_335,Priority_161
TaskId_134,Subject_90,OpportunityId_216,Status_4,Priority_268
TaskId_370,Subject_265,OpportunityId_344,Status_389,Priority_461
TaskId_180,Subject_302,OpportunityId_359,Status_432,Priority_453
TaskId_482,Subject_170,OpportunityId_164,Status_305,Priority_28
TaskId_491,Subject_85,OpportunityId_23,Status_83,Priority_378
TaskId_150,Subject_311,OpportunityId_261,Status_155,Priority_333
TaskId_135,Subject_67,OpportunityId_467,Status_469,Priority_7
TaskId_478,Subject_171,OpportunityId_339,Status_185,Priority_435
TaskId_41,Subject_219,OpportunityId_400,Status_158,Priority_479
TaskId_66,Subject_28,OpportunityId_115,Status_404,Priority_30
TaskId_371,Subject_104,OpportunityId_357,Status_205,Priority_146
TaskId_17,Subject_241,OpportunityId_279,Status_93,Priority_51
TaskId_150,Subject_355,OpportunityId_224,Status_268,Priority_102
TaskId_496,Subject_497,OpportunityId_410,Status_28,Priority_350
TaskId_437,Subject_331,OpportunityId_433,Status_189,Priority_73
TaskId_61,Subject_411,OpportunityId_117,Status_474,Priority_404
TaskId_375,Subject_477,OpportunityId_177,Status_442,Priority_19
TaskId_62,Subject_427,OpportunityId_350,Status_483,Priority_185
TaskId_96,Subject_47,OpportunityId_384,Status_360,Priority_176
TaskId_220,Subject_380,OpportunityId_142,Status_21,Priority_251
TaskId_76,Subject_162,OpportunityId_364,Status_480,Priority_313
TaskId_211,Subject_156,OpportunityId_345,Status_341,Priority_327
TaskId_32,Subject_280,OpportunityId_423,Status_113,Priority_128
TaskId_173,Subject_42,OpportunityId_213,Status_264,Priority_257
TaskId_169,Subject_98,OpportunityId_148,Status_240,Priority_318
TaskId_296,Subject_304,OpportunityId_71,Status_26,Priority_313
TaskId_173,Subject_36,OpportunityId_461,Status_101,Priority_81
TaskId_322,Subject_459,OpportunityId_197,Status_496,Priority_427
TaskId_425,Subject_470,OpportunityId_444,Status_91,Priority_133
TaskId_390,Subject_2,OpportunityId_9,Status_37,Priority_329
TaskId_383,Subject_143,OpportunityId_124,Status_382,Priority_26
TaskId_205,Subject_282,OpportunityId_260,Status_245,Priority_352
TaskId_242,Subject_491,OpportunityId_202,Status_466,Priority_162
TaskId_250,Subject_470,OpportunityId_101,Status_72,Priority_387
TaskId_52,Subject_286,OpportunityId_179,Status_481,Priority_142
TaskId_293,Subject_474,OpportunityId_251,Status_48,Priority_19
TaskId_211,Subject_83,OpportunityId_414,Status_445,Priority_134
TaskId_373,Subject_311,OpportunityId_14,Status_231,Priority_233
TaskId_381,Subject_496,OpportunityId_10,Status_305,Priority_264
TaskId_97,Subject_2,OpportunityId_30,Status_221,Priority_202
TaskId_255,Subject_494,OpportunityId_392,Status_34,Priority_354
TaskId_444,Subject_154,OpportunityId_209,Status_119,Priority_7
TaskId_374,Subject_163,OpportunityId_115,Status_21,Priority_109
TaskId_353,Subject_327,OpportunityId_75,Status_37,Priority_446
TaskId_421,Subject_449,OpportunityId_248,Status_357,Priority_492
TaskId_326,Subject_180,OpportunityId_59,Status_80,Priority_186
TaskId_438,Subject_76,OpportunityId_278,Status_436,Priority_450
TaskId_495,Subject_302,OpportunityId_256,Status_479,Priority_13
TaskId_270,Subject_66,OpportunityId_163,Status_130,Priority_149
TaskId_445,Subject_226,OpportunityId_231,Status_242,Priority_293
TaskId_58,Subject_159,OpportunityId_435,Status_1,Priority_22
TaskId_350,Subject_124,OpportunityId_266,Status_237,Priority_379
TaskId_496,Subject_405,OpportunityId_29,Status_151,Priority_379
TaskId_120,Subject_38,OpportunityId_77,Status_249,Priority_42
TaskId_328,Subject_174,OpportunityId_184,Status_53,Priority_114
TaskId_195,Subject_387,OpportunityId_473,Status_426,Priority_102
TaskId_103,Subject_48,OpportunityId_398,Status_9,Priority_486
TaskId_269,Subject_359,OpportunityId_106,Status_366,Priority_251
TaskId_84,Subject_128,OpportunityId_301,Status_76,Priority_424
TaskId_37,Subject_121,OpportunityId_139,Status_268,Priority_397
TaskId_87,Subject_133,OpportunityId_497,Status_13,Priority_366
TaskId_454,Subject_349,OpportunityId_478,Status_99,Priority_353
TaskId_4,Subject_243,OpportunityId_303,Status_484,Priority_478
TaskId_291,Subject_355,OpportunityId_41,Status_305,Priority_91
TaskId_332,Subject_179,OpportunityId_124,Status_81,Priority_155
TaskId_109,Subject_432,OpportunityId_71,Status_341,Priority_144
TaskId_245,Subject_247,OpportunityId_479,Status_321,Priority_461
TaskId_480,Subject_168,OpportunityId_440,Status_149,Priority_432
TaskId_403,Subject_63,OpportunityId_369,Status_137,Priority_310
TaskId_365,Subject_27,OpportunityId_199,Status_67,Priority_256
TaskId_467,Subject_192,OpportunityId_438,Status_193,Priority_296
TaskId_408,Subject_162,OpportunityId_465,Status_145,Priority_329
TaskId_413,Subject_318,OpportunityId_324,Status_191,Priority_227
TaskId_479,Subject_190,OpportunityId_496,Status_388,Priority_430
TaskId_266,Subject_51,OpportunityId_342,Status_415,Priority_21
TaskId_56,Subject_357,OpportunityId_278,Status_395,Priority_43
TaskId_240,Subject_43,OpportunityId_319,Status_285,Priority_90
TaskId_272,Subject_33,OpportunityId_482,Status_118,Priority_119
TaskId_93,Subject_429,OpportunityId_242,Status_191,Priority_270
TaskId_73,Subject_432,OpportunityId_208,Status_340,Priority_287
TaskId_293,Subject_70,OpportunityId_441,Status_210,Priority_240
TaskId_201,Subject_322,OpportunityId_22,Status_135,Priority_410
TaskId_357,Subject_266,OpportunityId_491,Status_381,Priority_13
TaskId_320,Subject_378,OpportunityId_70,Status_348,Priority_264
TaskId_460,Subject_39,OpportunityId_343,Status_416,Priority_454
TaskId_412,Subject_111,OpportunityId_447,Status_421,Priority_218
TaskId_412,Subject_32,OpportunityId_207,Status_21,Priority_453
TaskId_145,Subject_317,OpportunityId_214,Status_125,Priority_194
TaskId_137,Subject_239,OpportunityId_290,Status_469,Priority_426
TaskId_77,Subject_94,OpportunityId_58,Status_90,Priority_475
TaskId_96,Subject_435,OpportunityId_467,Status_416,Priority_59
TaskId_165,Subject_491,OpportunityId_411,Status_331,Priority_88
TaskId_4,Subject_459,OpportunityId_485,Status_16,Priority_261
TaskId_288,Subject_495,OpportunityId_46,Status_283,Priority_480
TaskId_214,Subject_170,OpportunityId_147,Status_272,Priority_337
TaskId_229,Subject_250,OpportunityId_188,Status_256,Priority_99
TaskId_258,Subject_279,OpportunityId_340,Status_334,Priority_433
TaskId_335,Subject_345,OpportunityId_257,Status_231,Priority_123
TaskId_296,Subject_55,OpportunityId_162,Status_499,Priority_362
TaskId_430,Subject_56,OpportunityId_168,Status_170,Priority_100
TaskId_49,Subject_72,OpportunityId_55,Status_255,Priority_10
TaskId_258,Subject_449,OpportunityId_298,Status_61,Priority_188
TaskId_316,Subject_253,OpportunityId_438,Status_335,Priority_500
TaskId_314,Subject_139,OpportunityId_236,Status_474,Priority_301
TaskId_103,Subject_69,OpportunityId_364,Status_441,Priority_344
TaskId_122,Subject_232,OpportunityId_102,Status_425,Priority_390
TaskId_395,Subject_304,OpportunityId_83,Status_70,Priority_163
TaskId_338,Subject_309,OpportunityId_206,Status_485,Priority_481
TaskId_338,Subject_490,OpportunityId_228,Status_76,Priority_255
TaskId_238,Subject_334,OpportunityId_295,Status_476,Priority_302
TaskId_500,Subject_101,OpportunityId_325,Status_218,Priority_72
TaskId_162,Subject_117,OpportunityId_351,Status_253,Priority_162
TaskId_338,Subject_216,OpportunityId_317,Status_274,Priority_457
TaskId_255,Subject_133,OpportunityId_15,Status_60,Priority_190
TaskId_368,Subject_330,OpportunityId_392,Status_225,Priority_86
TaskId_25,Subject_203,OpportunityId_102,Status_316,Priority_496
TaskId_260,Subject_70,OpportunityId_399,Status_114,Priority_52
TaskId_437,Subject_3,OpportunityId_181,Status_102,Priority_387
TaskId_67,Subject_169,OpportunityId_479,Status_173,Priority_339
TaskId_478,Subject_464,OpportunityId_31,Status_45,Priority_152
TaskId_162,Subject_5,OpportunityId_348,Status_87,Priority_32
TaskId_151,Subject_41,OpportunityId_315,Status_35,Priority_400
TaskId_133,Subject_356,OpportunityId_84,Status_472,Priority_308
TaskId_270,Subject_184,OpportunityId_20,Status_490,Priority_35
TaskId_220,Subject_371,OpportunityId_121,Status_409,Priority_452
TaskId_252,Subject_139,OpportunityId_39,Status_23,Priority_207
TaskId_286,Subject_321,OpportunityId_133,Status_472,Priority_69
TaskId_52,Subject_462,OpportunityId_132,Status_171,Priority_18
TaskId_88,Subject_270,OpportunityId_238,Status_442,Priority_346
TaskId_95,Subject_210,OpportunityId_209,Status_25,Priority_207
TaskId_178,Subject_397,OpportunityId_490,Status_474,Priority_283
TaskId_474,Subject_453,OpportunityId_470,Status_411,Priority_340
TaskId_116,Subject_8,OpportunityId_196,Status_99,Priority_162
TaskId_216,Subject_146,OpportunityId_282,Status_232,Priority_474
TaskId_256,Subject_231,OpportunityId_278,Status_69,Priority_140
TaskId_379,Subject_472,OpportunityId_308,Status_352,Priority_491
TaskId_221,Subject_265,OpportunityId_51,Status_132,Priority_327
TaskId_103,Subject_459,OpportunityId_305,Status_481,Priority_244
TaskId_133,Subject_314,OpportunityId_163,Status_292,Priority_69
TaskId_334,Subject_229,OpportunityId_31,Status_316,Priority_224
TaskId_151,Subject_385,OpportunityId_25,Status_79,Priority_434
TaskId_302,Subject_437,OpportunityId_278,Status_35,Priority_53
TaskId_29,Subject_450,OpportunityId_238,Status_101,Priority_182
TaskId_131,Subject_468,OpportunityId_90,Status_452,Priority_311
TaskId_255,Subject_39,OpportunityId_135,Status_281,Priority_492
TaskId_404,Subject_141,OpportunityId_417,Status_65,Priority_286
TaskId_65,Subject_284,OpportunityId_6,Status_62,Priority_408
TaskId_88,Subject_204,OpportunityId_35,Status_67,Priority_173
TaskId_113,Subject_132,OpportunityId_231,Status_194,Priority_136
TaskId_143,Subject_448,OpportunityId_295,Status_270,Priority_314
TaskId_113,Subject_444,OpportunityId_67,Status_132,Priority_38
TaskId_333,Subject_81,OpportunityId_367,Status_15,Priority_307
TaskId_118,Subject_370,OpportunityId_410,Status_185,Priority_464
TaskId_278,Subject_460,OpportunityId_54,Status_111,Priority_40
TaskId_477,Subject_29,OpportunityId_127,Status_154,Priority_191
TaskId_83,Subject_393,OpportunityId_200,Status_173,Priority_366
TaskId_7,Subject_178,OpportunityId_177,Status_51,Priority_17
TaskId_491,Subject_93,OpportunityId_191,Status_117,Priority_159
TaskId_238,Subject_313,OpportunityId_386,Status_236,Priority_317
TaskId_211,Subject_2,OpportunityId_238,Status_426,Priority_306
TaskId_289,Subject_273,OpportunityId_134,Status_280,Priority_35
TaskId_497,Subject_396,OpportunityId_254,Status_477,Priority_149
TaskId_410,Subject_44,OpportunityId_56,Status_148,Priority_317
TaskId_487,Subject_229,OpportunityId_19,Status_441,Priority_69
TaskId_407,Subject_158,OpportunityId_204,Status_419,Priority_219
TaskId_350,Subject_290,OpportunityId_95,Status_160,Priority_361
TaskId_253,Subject_227,OpportunityId_58,Status_123,Priority_209
TaskId_103,Subject_128,OpportunityId_11,Status_289,Priority_322
TaskId_309,Subject_334,OpportunityId_254,Status_447,Priority_216
TaskId_233,Subject_345,OpportunityId_36,Status_378,Priority_312
TaskId_447,Subject_351,OpportunityId_27,Status_129,Priority_493
TaskId_57,Subject_311,OpportunityId_11,Status_326,Priority_130
TaskId_404,Subject_320,OpportunityId_277,Status_108,Priority_334
TaskId_15,Subject_462,OpportunityId_164,Status_236,Priority_246
TaskId_469,Subject_417,OpportunityId_426,Status_267,Priority_252
TaskId_417,Subject_442,OpportunityId_244,Status_210,Priority_199
TaskId_8,Subject_204,OpportunityId_301,Status_57,Priority_116
TaskId_290,Subject_262,OpportunityId_132,Status_373,Priority_80
TaskId_64,Subject_69,OpportunityId_223,Status_371,Priority_59
TaskId_258,Subject_358,OpportunityId_147,Status_481,Priority_57
TaskId_110,Subject_431,OpportunityId_22,Status_235,Priority_77
TaskId_405,Subject_24,OpportunityId_299,Status_343,Priority_344
TaskId_461,Subject_290,OpportunityId_342,Status_462,Priority_421
TaskId_296,Subject_37,OpportunityId_157,Status_80,Priority_405
TaskId_23,Subject_328,OpportunityId_185,Status_325,Priority_68
TaskId_173,Subject_143,OpportunityId_88,Status_277,Priority_314
TaskId_275,Subject_264,OpportunityId_224,Status_252,Priority_2
TaskId_289,Subject_408,OpportunityId_430,Status_61,Priority_91
TaskId_436,Subject_333,OpportunityId_241,Status_185,Priority_296
TaskId_276,Subject_466,OpportunityId_106,Status_25,Priority_297
TaskId_188,Subject_277,OpportunityId_103,Status_76,Priority_40
TaskId_484,Subject_48,OpportunityId_103,Status_154,Priority_370
TaskId_53,Subject_339,OpportunityId_133,Status_56,Priority_133
TaskId_227,Subject_271,OpportunityId_177,Status_311,Priority_498
TaskId_107,Subject_251,OpportunityId_102,Status_236,Priority_96
TaskId_500,Subject_330,OpportunityId_340,Status_143,Priority_176
TaskId_352,Subject_429,OpportunityId_366,Status_412,Priority_67
TaskId_160,Subject_471,OpportunityId_487,Status_303,Priority_150
TaskId_33,Subject_279,OpportunityId_455,Status_342,Priority_42
TaskId_132,Subject_47,OpportunityId_23,Status_448,Priority_340
TaskId_239,Subject_128,OpportunityId_334,Status_118,Priority_143
TaskId_102,Subject_418,OpportunityId_183,Status_218,Priority_44
TaskId_157,Subject_138,OpportunityId_9,Status_454,Priority_195
TaskId_359,Subject_31,OpportunityId_126,Status_381,Priority_94
TaskId_398,Subject_76,OpportunityId_132,Status_102,Priority_413
TaskId_36,Subject_332,OpportunityId_83,Status_146,Priority_299
TaskId_178,Subject_320,OpportunityId_424,Status_488,Priority_415
TaskId_245,Subject_2,OpportunityId_209,Status_161,Priority_270
TaskId_492,Subject_210,OpportunityId_178,Status_315,Priority_389
TaskId_154,Subject_443,OpportunityId_336,Status_404,Priority_150
