OpportunityId,OpportunityName,AccountId,StageName,Amount,CloseDate
006000000000062,Opportunity 62,001000000000399,Proposal,493490.88,2023-01-05 09:17:19
006000000000063,Opportunity 63,001000000000395,Proposal,740190.09,2024-01-30 11:32:26
006000000000064,Opportunity 64,001000000000135,Closed Lost,529987.36,2023-03-23 10:20:55
006000000000065,Opportunity 65,001000000000467,Qualification,42319.22,2023-04-07 20:32:32
006000000000066,Opportunity 66,001000000000002,Qualification,869865.99,2024-09-08 05:40:38
006000000000067,Opportunity 67,001000000000143,Qualification,74040.02,2024-05-06 20:17:59
006000000000068,Opportunity 68,001000000000029,Closed Lost,956266.24,2023-08-31 03:02:31
006000000000069,Opportunity 69,001000000000236,Proposal,34890.54,2023-07-17 08:17:48
006000000000070,Opportunity 70,001000000000278,Prospecting,697505.95,2024-01-02 21:02:13
006000000000071,Opportunity 71,001000000000347,Closed Lost,91384.99,2024-08-04 17:58:18
006000000000072,Opportunity 72,001000000000114,Closed Lost,911569.81,2023-10-28 06:51:47
006000000000073,Opportunity 73,001000000000103,Prospecting,469788.9,2024-03-14 22:51:19
006000000000074,Opportunity 74,001000000000117,Qualification,146148.54,2023-06-08 19:36:34
006000000000075,Opportunity 75,001000000000004,Closed Won,347407.54,2023-12-15 11:46:36
006000000000076,Opportunity 76,001000000000467,Prospecting,173176.43,2024-04-16 12:28:24
006000000000077,Opportunity 77,001000000000359,Proposal,178876.09,2024-08-30 21:19:29
006000000000078,Opportunity 78,001000000000247,Needs Analysis,948627.24,2024-04-19 07:48:49
006000000000079,Opportunity 79,001000000000363,Needs Analysis,450793.65,2023-08-20 04:42:52
006000000000080,Opportunity 80,001000000000320,Closed Lost,790914.24,2024-10-11 16:24:46
006000000000081,Opportunity 81,001000000000120,Needs Analysis,643209.51,2024-09-30 08:29:47
006000000000082,Opportunity 82,001000000000285,Closed Won,679662.1,2023-09-09 12:36:38
006000000000083,Opportunity 83,001000000000148,Qualification,140376.5,2024-06-29 07:03:53
006000000000084,Opportunity 84,001000000000083,Proposal,241842.6,2023-07-23 00:06:27
006000000000085,Opportunity 85,001000000000453,Closed Won,788882.83,2023-08-20 21:19:21
006000000000086,Opportunity 86,001000000000405,Proposal,971058.54,2023-10-18 00:05:59
006000000000087,Opportunity 87,001000000000465,Proposal,270048.89,2023-09-17 16:51:20
006000000000088,Opportunity 88,001000000000455,Qualification,278853.08,2023-08-26 19:16:06
006000000000089,Opportunity 89,001000000000230,Closed Lost,478168.16,2023-07-15 20:03:16
006000000000090,Opportunity 90,001000000000287,Needs Analysis,984001.91,2023-12-12 15:08:15
006000000000091,Opportunity 91,001000000000160,Qualification,276269.36,2024-05-28 14:57:23
006000000000092,Opportunity 92,001000000000271,Closed Won,412902.19,2024-10-19 18:47:13
006000000000093,Opportunity 93,001000000000459,Closed Lost,892565.22,2023-07-17 03:49:30
006000000000094,Opportunity 94,001000000000037,Closed Won,12891.82,2024-04-24 08:57:50
006000000000095,Opportunity 95,001000000000499,Closed Lost,49368.31,2024-12-17 17:59:59
006000000000096,Opportunity 96,001000000000225,Closed Won,608030.96,2024-10-13 10:55:23
006000000000097,Opportunity 97,001000000000141,Qualification,908306.36,2024-07-15 21:01:09
006000000000098,Opportunity 98,001000000000291,Closed Lost,246468.09,2023-11-10 11:03:04
006000000000099,Opportunity 99,001000000000480,Closed Lost,474945.36,2023-04-03 06:32:48
006000000000100,Opportunity 100,001000000000150,Proposal,455960.65,2023-11-26 15:24:42
006000000000101,Opportunity 101,001000000000113,Proposal,478241.63,2023-12-08 20:49:29
006000000000102,Opportunity 102,001000000000236,Prospecting,626294.5,2024-02-19 05:45:15
006000000000103,Opportunity 103,001000000000065,Closed Won,475046.33,2024-05-29 23:27:02
006000000000104,Opportunity 104,001000000000360,Proposal,452993.46,2023-01-09 20:17:45
006000000000105,Opportunity 105,001000000000340,Prospecting,479545.54,2023-09-28 22:14:16
006000000000106,Opportunity 106,001000000000257,Proposal,594958.77,2024-10-10 03:42:17
006000000000107,Opportunity 107,001000000000474,Closed Won,541637.41,2023-06-21 05:22:32
006000000000108,Opportunity 108,001000000000248,Closed Lost,855594.64,2023-01-04 13:43:37
006000000000109,Opportunity 109,001000000000456,Needs Analysis,59001.88,2023-05-12 14:02:34
006000000000110,Opportunity 110,001000000000448,Closed Won,834983.9,2023-01-09 14:52:28
006000000000111,Opportunity 111,001000000000330,Qualification,845485.37,2024-06-11 13:00:02
006000000000112,Opportunity 112,001000000000322,Proposal,292058.94,2023-11-12 01:10:34
006000000000113,Opportunity 113,001000000000179,Proposal,468223.44,2024-10-03 10:15:40
006000000000114,Opportunity 114,001000000000189,Closed Lost,444153.1,2024-12-09 07:26:44
006000000000115,Opportunity 115,001000000000406,Qualification,226324.74,2024-08-01 15:16:23
006000000000116,Opportunity 116,001000000000153,Closed Lost,402828.88,2024-06-28 13:28:07
006000000000117,Opportunity 117,001000000000195,Qualification,53943.89,2023-01-09 11:57:55
006000000000118,Opportunity 118,001000000000465,Needs Analysis,285043.85,2024-10-16 11:18:06
006000000000119,Opportunity 119,001000000000310,Proposal,818515.35,2024-01-15 08:10:06
006000000000120,Opportunity 120,001000000000261,Proposal,291716.68,2023-04-23 02:40:27
006000000000121,Opportunity 121,001000000000418,Needs Analysis,820024.6,2023-04-20 01:26:34
006000000000122,Opportunity 122,001000000000405,Prospecting,536283.47,2024-05-07 09:05:46
006000000000123,Opportunity 123,001000000000426,Closed Lost,881064.05,2024-10-07 11:55:44
006000000000124,Opportunity 124,001000000000142,Needs Analysis,579031.76,2023-03-13 16:37:04
006000000000125,Opportunity 125,001000000000341,Closed Lost,39371.54,2024-05-06 21:29:18
006000000000126,Opportunity 126,001000000000315,Closed Won,678666.01,2024-07-12 12:53:07
006000000000127,Opportunity 127,001000000000100,Proposal,54405.03,2024-04-03 02:05:25
006000000000128,Opportunity 128,001000000000243,Closed Lost,456091.05,2024-04-05 01:03:19
006000000000129,Opportunity 129,001000000000489,Qualification,930132.43,2023-11-06 18:04:37
006000000000130,Opportunity 130,001000000000011,Closed Lost,173551.9,2023-03-03 13:18:51
006000000000131,Opportunity 131,001000000000238,Closed Won,395973.63,2024-01-11 23:01:12
006000000000132,Opportunity 132,001000000000048,Proposal,732561.71,2024-11-14 17:04:30
006000000000133,Opportunity 133,001000000000041,Needs Analysis,883435.97,2023-08-17 11:39:20
006000000000134,Opportunity 134,001000000000165,Closed Won,674233.57,2023-05-05 06:18:21
006000000000135,Opportunity 135,001000000000081,Proposal,265591.52,2023-05-10 01:49:13
006000000000136,Opportunity 136,001000000000428,Closed Lost,677861.77,2023-11-28 23:12:48
006000000000137,Opportunity 137,001000000000290,Prospecting,303760.36,2024-03-10 01:27:13
006000000000138,Opportunity 138,001000000000157,Prospecting,721244.94,2024-01-25 19:22:44
006000000000139,Opportunity 139,001000000000215,Qualification,954492.8,2024-10-05 02:58:27
006000000000140,Opportunity 140,001000000000489,Proposal,724179.52,2023-10-22 08:58:27
006000000000141,Opportunity 141,001000000000157,Prospecting,864251.7,2024-07-25 17:07:52
006000000000142,Opportunity 142,001000000000461,Needs Analysis,12082.8,2024-05-20 17:22:18
006000000000143,Opportunity 143,001000000000133,Proposal,720396.4,2024-10-23 20:00:55
006000000000144,Opportunity 144,001000000000066,Needs Analysis,831291.68,2024-04-06 01:19:49
006000000000145,Opportunity 145,001000000000335,Needs Analysis,50153.15,2024-04-11 21:18:24
006000000000146,Opportunity 146,001000000000006,Prospecting,872881.75,2023-08-28 01:30:25
006000000000147,Opportunity 147,001000000000435,Proposal,264127.29,2023-09-08 14:58:45
006000000000148,Opportunity 148,001000000000013,Closed Lost,668639.18,2024-11-28 16:04:42
006000000000149,Opportunity 149,001000000000072,Closed Won,802351.33,2024-07-05 04:51:45
006000000000150,Opportunity 150,001000000000398,Prospecting,666037.87,2024-01-09 17:40:30
006000000000151,Opportunity 151,001000000000404,Prospecting,101361.94,2024-06-06 20:11:11
006000000000152,Opportunity 152,001000000000162,Closed Lost,600358.3,2023-01-31 00:05:16
006000000000153,Opportunity 153,001000000000065,Proposal,554087.82,2024-07-29 04:58:33
006000000000154,Opportunity 154,001000000000346,Proposal,901318.06,2024-01-21 00:32:20
006000000000155,Opportunity 155,001000000000129,Needs Analysis,410197.33,2024-04-01 14:22:37
006000000000156,Opportunity 156,001000000000418,Closed Lost,327870.29,2024-11-13 23:31:16
006000000000157,Opportunity 157,001000000000465,Closed Lost,752352.26,2024-07-27 08:06:29
006000000000158,Opportunity 158,001000000000205,Proposal,418548.57,2024-03-27 07:26:29
006000000000159,Opportunity 159,001000000000275,Needs Analysis,649635.21,2023-12-04 07:09:49
006000000000160,Opportunity 160,001000000000465,Prospecting,649985.59,2024-05-16 14:25:25
006000000000161,Opportunity 161,001000000000255,Qualification,889158.67,2024-06-23 13:44:29
006000000000162,Opportunity 162,001000000000265,Closed Won,602705.48,2023-11-22 02:22:09
006000000000163,Opportunity 163,001000000000024,Prospecting,507132.07,2024-02-24 04:53:01
006000000000164,Opportunity 164,001000000000449,Proposal,147482.61,2024-06-27 21:07:24
006000000000165,Opportunity 165,001000000000280,Closed Won,124580.23,2023-09-30 01:29:02
006000000000166,Opportunity 166,001000000000252,Qualification,162778.35,2024-09-20 19:58:21
006000000000167,Opportunity 167,001000000000309,Qualification,180130.0,2024-11-26 22:00:34
006000000000168,Opportunity 168,001000000000288,Needs Analysis,641498.32,2024-04-17 05:40:45
006000000000169,Opportunity 169,001000000000163,Closed Won,743571.44,2023-08-17 00:00:05
006000000000170,Opportunity 170,001000000000094,Needs Analysis,534691.61,2024-02-04 18:03:08
006000000000171,Opportunity 171,001000000000269,Prospecting,830727.56,2024-09-17 12:33:11
006000000000172,Opportunity 172,001000000000320,Closed Lost,991350.59,2023-10-29 06:24:43
006000000000173,Opportunity 173,001000000000109,Closed Lost,821812.5,2023-12-17 10:35:24
006000000000174,Opportunity 174,001000000000335,Closed Lost,697933.55,2023-06-04 07:14:50
006000000000175,Opportunity 175,001000000000309,Closed Won,537167.77,2023-05-03 23:34:03
006000000000176,Opportunity 176,001000000000237,Closed Lost,454364.54,2024-08-19 11:26:08
006000000000177,Opportunity 177,001000000000380,Prospecting,93548.46,2024-09-10 12:30:39
006000000000178,Opportunity 178,001000000000435,Needs Analysis,405375.06,2024-06-11 05:53:14
006000000000179,Opportunity 179,001000000000386,Closed Won,911033.29,2024-08-14 04:45:00
006000000000180,Opportunity 180,001000000000482,Needs Analysis,809942.4,2024-07-31 00:28:33
006000000000181,Opportunity 181,001000000000424,Closed Won,223890.85,2024-05-13 20:07:38
006000000000182,Opportunity 182,001000000000389,Needs Analysis,471941.71,2023-03-03 07:23:10
006000000000183,Opportunity 183,001000000000024,Qualification,818555.97,2024-01-13 21:41:47
006000000000184,Opportunity 184,001000000000140,Needs Analysis,76710.71,2023-05-23 08:35:55
006000000000185,Opportunity 185,001000000000116,Closed Lost,393518.66,2024-01-08 22:12:21
006000000000186,Opportunity 186,001000000000481,Qualification,853322.82,2024-04-13 13:18:07
006000000000187,Opportunity 187,001000000000391,Needs Analysis,409858.89,2024-07-27 14:08:03
006000000000188,Opportunity 188,001000000000404,Closed Won,86838.5,2024-11-23 10:54:26
006000000000189,Opportunity 189,001000000000481,Closed Won,547109.02,2024-11-20 00:48:59
006000000000190,Opportunity 190,001000000000451,Closed Won,863125.07,2024-06-03 04:31:43
006000000000191,Opportunity 191,001000000000024,Proposal,594382.69,2023-01-22 01:56:07
006000000000192,Opportunity 192,001000000000078,Prospecting,234016.32,2024-03-03 09:34:55
006000000000193,Opportunity 193,001000000000067,Closed Won,390397.22,2024-09-08 02:18:01
006000000000194,Opportunity 194,001000000000172,Qualification,455622.13,2023-12-10 17:34:53
006000000000195,Opportunity 195,001000000000443,Closed Won,583473.69,2023-12-16 22:47:20
006000000000196,Opportunity 196,001000000000011,Proposal,761757.52,2023-01-19 06:25:15
006000000000197,Opportunity 197,001000000000287,Closed Lost,107884.88,2024-04-19 07:47:22
006000000000198,Opportunity 198,001000000000127,Qualification,890755.51,2023-10-18 05:34:28
006000000000199,Opportunity 199,001000000000095,Proposal,22186.61,2024-10-15 01:32:01
006000000000200,Opportunity 200,001000000000091,Closed Lost,376351.81,2023-07-29 19:13:26
006000000000201,Opportunity 201,001000000000140,Qualification,37146.11,2024-06-10 00:17:58
006000000000202,Opportunity 202,001000000000030,Needs Analysis,399044.48,2024-06-22 11:07:17
006000000000203,Opportunity 203,001000000000333,Prospecting,530554.47,2024-10-06 15:44:53
006000000000204,Opportunity 204,001000000000019,Prospecting,516564.57,2024-10-09 16:52:33
006000000000205,Opportunity 205,001000000000145,Proposal,173972.06,2024-09-09 18:59:37
006000000000206,Opportunity 206,001000000000476,Closed Lost,649283.1,2024-12-06 09:23:17
006000000000207,Opportunity 207,001000000000315,Prospecting,54330.67,2023-05-10 15:02:27
006000000000208,Opportunity 208,001000000000446,Closed Lost,764287.75,2023-03-04 23:08:27
006000000000209,Opportunity 209,001000000000389,Closed Lost,947177.99,2024-07-17 23:14:58
006000000000210,Opportunity 210,001000000000159,Proposal,346371.14,2024-10-26 18:08:28
006000000000211,Opportunity 211,001000000000348,Proposal,522066.99,2023-03-23 23:05:30
006000000000212,Opportunity 212,001000000000042,Proposal,385121.18,2024-07-15 06:45:16
006000000000213,Opportunity 213,001000000000253,Prospecting,16643.29,2023-11-05 06:46:57
006000000000214,Opportunity 214,001000000000129,Proposal,392015.76,2024-06-21 10:12:32
006000000000215,Opportunity 215,001000000000059,Prospecting,793803.06,2023-12-15 11:58:34
006000000000216,Opportunity 216,001000000000150,Proposal,600028.95,2023-08-16 17:15:22
006000000000217,Opportunity 217,001000000000466,Closed Won,110247.32,2023-10-18 00:59:32
006000000000218,Opportunity 218,001000000000286,Closed Lost,848668.09,2024-03-01 09:58:25
006000000000219,Opportunity 219,001000000000498,Proposal,535774.49,2024-11-23 08:21:53
006000000000220,Opportunity 220,001000000000004,Qualification,843306.13,2023-12-30 09:25:10
006000000000221,Opportunity 221,001000000000466,Closed Lost,584419.3,2023-04-18 19:27:03
006000000000222,Opportunity 222,001000000000417,Closed Lost,564091.56,2023-09-27 12:01:16
006000000000223,Opportunity 223,001000000000265,Proposal,114206.59,2024-06-04 13:28:09
006000000000224,Opportunity 224,001000000000344,Needs Analysis,175686.14,2024-02-10 03:27:03
006000000000225,Opportunity 225,001000000000129,Proposal,972305.0,2024-01-07 00:57:01
006000000000226,Opportunity 226,001000000000381,Closed Lost,236201.88,2024-10-14 10:39:31
006000000000227,Opportunity 227,001000000000266,Qualification,977677.6,2024-10-06 12:13:34
006000000000228,Opportunity 228,001000000000177,Closed Lost,536593.58,2024-10-22 15:23:09
006000000000229,Opportunity 229,001000000000252,Qualification,144431.16,2023-09-12 00:02:50
006000000000230,Opportunity 230,001000000000414,Prospecting,108309.18,2024-05-29 12:35:50
006000000000231,Opportunity 231,001000000000055,Closed Won,216775.43,2023-01-05 21:55:28
006000000000232,Opportunity 232,001000000000462,Closed Lost,926380.96,2023-11-17 14:50:34
006000000000233,Opportunity 233,001000000000456,Proposal,420008.72,2023-12-17 02:22:11
006000000000234,Opportunity 234,001000000000470,Prospecting,401479.93,2023-05-09 12:23:51
006000000000235,Opportunity 235,001000000000082,Closed Won,320074.2,2024-11-06 00:27:29
006000000000236,Opportunity 236,001000000000392,Proposal,155591.23,2023-10-26 08:33:25
006000000000237,Opportunity 237,001000000000098,Needs Analysis,492972.69,2024-07-23 12:43:08
006000000000238,Opportunity 238,001000000000148,Proposal,138747.3,2024-12-22 19:49:41
006000000000239,Opportunity 239,001000000000328,Qualification,837125.43,2024-04-08 00:24:11
006000000000240,Opportunity 240,001000000000155,Qualification,376693.02,2024-08-24 15:34:32
006000000000241,Opportunity 241,001000000000189,Needs Analysis,381055.53,2023-12-29 00:45:24
006000000000242,Opportunity 242,001000000000493,Prospecting,479266.36,2024-03-25 07:18:33
006000000000243,Opportunity 243,001000000000370,Closed Won,449686.44,2023-06-07 14:58:43
006000000000244,Opportunity 244,001000000000262,Proposal,994909.39,2024-10-22 02:52:20
006000000000245,Opportunity 245,001000000000079,Qualification,549927.31,2023-04-09 16:50:35
006000000000246,Opportunity 246,001000000000399,Prospecting,97319.69,2023-08-03 16:51:11
006000000000247,Opportunity 247,001000000000251,Needs Analysis,610808.57,2023-09-12 06:47:55
006000000000248,Opportunity 248,001000000000096,Closed Lost,160068.45,2024-05-08 11:06:17
006000000000249,Opportunity 249,001000000000259,Qualification,40628.27,2024-01-27 14:58:06
006000000000250,Opportunity 250,001000000000259,Needs Analysis,971034.73,2024-04-10 11:19:06
006000000000251,Opportunity 251,001000000000102,Proposal,775803.5,2023-06-15 07:55:03
006000000000252,Opportunity 252,001000000000039,Closed Won,980307.9,2024-07-10 23:13:45
006000000000253,Opportunity 253,001000000000272,Qualification,483099.66,2024-03-31 20:13:47
006000000000254,Opportunity 254,001000000000100,Qualification,536934.96,2023-10-26 21:55:51
006000000000255,Opportunity 255,001000000000358,Proposal,176653.59,2023-08-02 08:39:29
006000000000256,Opportunity 256,001000000000379,Closed Lost,254438.35,2024-12-30 22:14:14
006000000000257,Opportunity 257,001000000000307,Prospecting,840163.72,2024-05-17 15:24:55
006000000000258,Opportunity 258,001000000000220,Closed Won,362623.79,2024-07-20 17:15:27
006000000000259,Opportunity 259,001000000000307,Qualification,828546.82,2023-03-23 23:40:10
006000000000260,Opportunity 260,001000000000419,Closed Won,711923.59,2023-07-09 22:43:33
006000000000261,Opportunity 261,001000000000123,Qualification,185399.22,2023-12-06 08:57:08
006000000000262,Opportunity 262,001000000000421,Closed Won,512371.9,2024-07-22 07:26:18
006000000000263,Opportunity 263,001000000000230,Needs Analysis,680613.45,2024-11-04 07:32:08
006000000000264,Opportunity 264,001000000000177,Qualification,242686.84,2024-08-26 10:52:12
006000000000265,Opportunity 265,001000000000062,Closed Won,832381.63,2024-08-26 11:45:06
006000000000266,Opportunity 266,001000000000484,Prospecting,549379.38,2023-07-19 17:24:59
006000000000267,Opportunity 267,001000000000115,Needs Analysis,173589.63,2023-11-04 09:49:00
006000000000268,Opportunity 268,001000000000190,Needs Analysis,587154.58,2023-01-23 00:15:40
006000000000269,Opportunity 269,001000000000061,Prospecting,999716.67,2024-03-29 17:40:25
006000000000270,Opportunity 270,001000000000255,Closed Won,159016.28,2024-06-18 18:54:27
006000000000271,Opportunity 271,001000000000482,Proposal,818589.36,2024-01-15 12:50:16
006000000000272,Opportunity 272,001000000000006,Prospecting,215235.91,2024-10-17 06:46:13
006000000000273,Opportunity 273,001000000000154,Closed Won,784564.45,2023-12-25 11:48:07
006000000000274,Opportunity 274,001000000000091,Prospecting,737232.14,2023-10-11 21:56:06
006000000000275,Opportunity 275,001000000000469,Prospecting,307484.49,2024-10-22 04:52:42
006000000000276,Opportunity 276,001000000000013,Qualification,332564.89,2023-03-27 14:24:33
006000000000277,Opportunity 277,001000000000454,Closed Won,794596.18,2024-03-17 10:16:18
006000000000278,Opportunity 278,001000000000228,Proposal,466831.06,2024-05-27 00:36:16
006000000000279,Opportunity 279,001000000000085,Qualification,733509.85,2024-11-10 02:34:07
006000000000280,Opportunity 280,001000000000132,Prospecting,156504.31,2024-09-24 07:50:48
006000000000281,Opportunity 281,001000000000182,Closed Lost,854032.2,2024-07-01 04:58:04
006000000000282,Opportunity 282,001000000000385,Prospecting,713775.87,2024-09-28 06:12:22
006000000000283,Opportunity 283,001000000000061,Prospecting,907873.38,2024-09-05 21:00:32
006000000000284,Opportunity 284,001000000000218,Closed Won,141048.66,2024-06-03 03:45:06
006000000000285,Opportunity 285,001000000000404,Closed Won,597084.36,2023-04-02 03:04:51
006000000000286,Opportunity 286,001000000000245,Qualification,603129.38,2024-09-18 04:26:59
006000000000287,Opportunity 287,001000000000229,Proposal,359926.13,2023-08-01 00:19:00
006000000000288,Opportunity 288,001000000000078,Qualification,463881.76,2023-03-10 00:01:33
006000000000289,Opportunity 289,001000000000148,Needs Analysis,47601.75,2024-08-28 07:02:58
006000000000290,Opportunity 290,001000000000137,Prospecting,748401.44,2024-06-22 06:12:50
006000000000291,Opportunity 291,001000000000470,Closed Lost,553829.25,2024-10-29 12:56:16
006000000000292,Opportunity 292,001000000000313,Prospecting,67163.64,2023-12-08 06:40:38
006000000000293,Opportunity 293,001000000000375,Prospecting,683948.33,2024-12-27 21:25:46
006000000000294,Opportunity 294,001000000000422,Qualification,472114.26,2024-05-08 06:31:53
006000000000295,Opportunity 295,001000000000388,Closed Lost,44116.65,2024-10-26 16:24:45
006000000000296,Opportunity 296,001000000000064,Closed Lost,969911.65,2024-09-21 13:24:32
006000000000297,Opportunity 297,001000000000012,Closed Lost,949621.02,2023-11-10 03:05:53
006000000000298,Opportunity 298,001000000000212,Qualification,517773.39,2024-02-06 00:39:08
006000000000299,Opportunity 299,001000000000473,Prospecting,102735.7,2023-02-19 18:41:55
006000000000300,Opportunity 300,001000000000241,Qualification,757075.01,2024-07-16 21:04:28
006000000000301,Opportunity 301,001000000000492,Closed Won,497011.79,2023-03-20 05:53:23
006000000000302,Opportunity 302,001000000000212,Closed Won,309423.0,2024-07-17 18:38:44
006000000000303,Opportunity 303,001000000000180,Qualification,496504.0,2024-04-09 23:37:53
006000000000304,Opportunity 304,001000000000337,Closed Lost,527219.7,2023-01-19 22:37:55
006000000000305,Opportunity 305,001000000000484,Prospecting,567084.58,2023-06-25 01:30:40
006000000000306,Opportunity 306,001000000000172,Qualification,446811.48,2023-10-27 10:48:17
006000000000307,Opportunity 307,001000000000159,Qualification,609697.75,2024-07-31 04:56:32
006000000000308,Opportunity 308,001000000000163,Qualification,919547.36,2023-07-23 11:04:25
006000000000309,Opportunity 309,001000000000464,Needs Analysis,368645.41,2023-04-28 02:21:13
006000000000310,Opportunity 310,001000000000482,Closed Won,728459.3,2024-08-18 23:31:56
006000000000311,Opportunity 311,001000000000496,Closed Lost,895508.03,2023-10-07 11:35:47
006000000000312,Opportunity 312,001000000000187,Proposal,461419.48,2024-02-05 08:25:23
006000000000313,Opportunity 313,001000000000394,Closed Lost,449021.28,2024-08-14 06:19:02
006000000000314,Opportunity 314,001000000000190,Proposal,606095.82,2023-10-24 04:03:21
